movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
godzilla vs. kong,2021,COVID-19 Pandemic,18.02,19.52,-28.6%,-25.9%,18019423,19516783,48,16,Apr 16-18
godzilla vs. kong,2021,COVID-19 Pandemic,25.24,26.32,-41.2%,-40.3%,25237445,26324259,40,15,Apr 9-11
godzilla vs. kong,2021,COVID-19 PandemicEaster wknd,46.64,47.52,-,-,46642922,47518581,28,14,Apr 2-5
godzilla vs. kong,2021,COVID-19 Pandemic,42.93,44.07,+147%,+133.9%,42925292,44066217,39,14,Apr 2-4
nobody,2021,COVID-19 Pandemic,17.38,18.84,+12.4%,+6.6%,17375273,18838102,49,13,Mar 26-28
raya and the last dragon,2021,COVID-19 Pandemic,15.46,17.68,-0.7%,+2.6%,15460315,17679140,41,12,Mar 19-21
raya and the last dragon,2021,COVID-19 Pandemic,15.57,17.24,-31.9%,-28.9%,15568060,17235582,43,11,Mar 12-14
raya and the last dragon,2021,COVID-19 Pandemic,22.85,24.23,+15.9%,+15.7%,22852467,24231070,38,10,Mar 5-7
tom & jerry,2021,COVID-19 Pandemic,19.72,20.95,+169.6%,+155.1%,19718662,20948893,39,9,Feb 26-28
the croods: a new age,2021,COVID-19 Pandemic,7.32,8.21,-31.4%,-29.8%,7315322,8213117,40,8,Feb 19-21
the croods: a new age,2021,COVID-19 Pandemic,10.66,11.69,+46.2%,+47.9%,10659782,11693660,38,7,Feb 12-14
the croods: a new age,2021,COVID-19 PandemicPresidents' Day wknd,12.01,13.13,-,-,12006490,13132939,32,7,Feb 12-15
the little things,2021,COVID-19 Pandemic,7.29,7.9,-34.2%,-33.3%,7293328,7904141,37,6,Feb 5-7
the little things,2021,COVID-19 Pandemic,11.08,11.85,+33%,+31.6%,11080199,11848736,32,5,Jan 29-31
the marksman,2021,COVID-19 Pandemic,8.33,9.0,-21.2%,-17.6%,8331573,9004940,36,4,Jan 22-24
the marksman,2021,COVID-19 PandemicMLK wknd,12.5,12.91,-,-,12497047,12907583,21,3,Jan 15-18
the marksman,2021,COVID-19 Pandemic,10.58,10.93,+19.3%,+19.9%,10578393,10927986,23,3,Jan 15-17
wonder woman 1984,2021,COVID-19 Pandemic,8.87,9.12,-29.5%,-29.1%,8867268,9115736,25,2,Jan 8-10
wonder woman 1984,2021,COVID-19 Pandemic,12.58,12.86,-47.1%,-46.9%,12584769,12862573,27,1,Jan 1-3
avatar: the way of water,2022,New Year's long wknd,134.62,136.05,-,-,134622744,136047635,39,52,"Dec 30-Jan 2, 2023"
avatar: the way of water,2022,normal weekend,102.07,103.22,+8.6%,+9%,102074088,103224144,41,52,"Dec 30-Jan 1, 2023"
avatar: the way of water,2022,Christmas long wknd,141.72,142.81,-,-,141716017,142814390,33,51,Dec 23-26
avatar: the way of water,2022,normal weekend,93.95,94.71,-37.9%,-38.1%,93952740,94711196,35,51,Dec 23-25
avatar: the way of water,2022,World Cup (Qatar),151.35,152.95,+355.1%,+305.6%,151354815,152947812,50,50,Dec 16-18
black panther: wakanda forever,2022,World Cup (Qatar),33.26,37.71,-32.4%,-28.4%,33258801,37708268,58,49,Dec 9-11
black panther: wakanda forever,2022,Post-ThanksgivingWorld Cup (Qatar),49.17,52.67,-45.2%,-43.8%,49166499,52669526,54,48,Dec 2-4
black panther: wakanda forever,2022,Thanksgiving 3-DayWorld Cup (Qatar),89.74,93.78,-9.4%,-6.9%,89735916,93780231,49,47,Nov 25-27
black panther: wakanda forever,2022,Thanksgiving 4-DayWorld Cup (Qatar),106.84,111.39,-,-,106837323,111394577,36,47,Nov 24-27
black panther: wakanda forever,2022,Thanksgiving 5-DayWorld Cup (Qatar),128.66,134.03,-,-,128658959,134030714,37,47,Nov 23-27
black panther: wakanda forever,2022,normal weekend,99.0,100.68,-52.1%,-51.9%,98996721,100684871,53,46,Nov 18-20
black panther: wakanda forever,2022,normal weekend,206.86,209.54,+283.9%,+255.6%,206857668,209537723,51,45,Nov 11-13
black adam,2022,normal weekend,53.89,58.93,-15.2%,-13.1%,53888688,58930348,56,44,Nov 4-6
black adam,2022,normal weekend,63.57,67.84,-42.3%,-40.3%,63565774,67841734,57,43,Oct 28-30
black adam,2022,normal weekend,110.16,113.65,+51.5%,+48.9%,110164317,113651016,58,42,Oct 21-23
halloween ends,2022,normal weekend,72.7,76.35,+35.2%,+29.5%,72697268,76347045,57,41,Oct 14-16
smile,2022,Indig. Peoples' Day wknd,61.66,67.27,-,-,61664865,67265387,45,40,Oct 7-10
smile,2022,normal weekend,53.76,58.98,-5.3%,-7.8%,53759907,58977399,67,40,Oct 7-9
smile,2022,normal weekend,56.77,63.99,+1.8%,+2.5%,56765793,63993367,71,39,Sep 30-Oct 2
don't worry darling,2022,normal weekend,55.77,62.43,+29.5%,+21.3%,55769690,62432510,73,38,Sep 23-25
the woman king,2022,normal weekend,43.05,51.47,+26.8%,+19%,43050766,51471499,75,37,Sep 16-18
barbarian,2022,normal weekend,33.95,43.24,-19.9%,-22.6%,33945638,43236335,71,36,Sep 9-11
top gun: maverick,2022,normal weekend,42.4,55.83,+2.4%,+7.1%,42395247,55828733,65,35,Sep 2-4
top gun: maverick,2022,Labor Day wknd,54.21,71.17,-,-,54205807,71172772,55,35,Sep 2-5
the invitation,2022,normal weekend,41.41,52.15,-40.2%,-33.9%,41408038,52149248,64,34,Aug 26-28
dragon ball super: super hero,2022,normal weekend,69.28,78.93,+25%,+20.7%,69281199,78932546,59,33,Aug 19-21
bullet train,2022,normal weekend,55.43,65.39,-37%,-29%,55432709,65390508,63,32,Aug 12-14
bullet train,2022,normal weekend,88.0,92.09,-6.2%,-5.9%,88004513,92090558,48,31,Aug 5-7
dc league of super-pets,2022,normal weekend,93.86,97.88,-24.4%,-22.5%,93856999,97884374,54,30,Jul 29-31
nope,2022,normal weekend,124.08,126.24,-5.4%,-4.9%,124080435,126240948,53,29,Jul 22-24
thor: love and thunder,2022,normal weekend,131.23,132.81,-44.7%,-44.3%,131231157,132813074,54,28,Jul 15-17
thor: love and thunder,2022,normal weekend,237.27,238.36,+25.9%,+25.5%,237265821,238358815,51,27,Jul 8-10
minions: the rise of gru,2022,July 4th long wknd,221.93,223.58,-,-,221928586,223580059,40,26,Jul 1-4
minions: the rise of gru,2022,normal weekend,188.5,189.94,+41.4%,+41.1%,188498988,189937068,54,26,Jul 1-3
elvis,2022,normal weekend,133.33,134.64,-18.3%,-18.2%,133333162,134640716,56,25,Jun 24-26
jurassic world dominion,2022,normal weekend,163.24,164.53,-23.1%,-23.4%,163242107,164531244,56,24,Jun 17-19
jurassic world dominion,2022,normal weekend,212.41,214.85,+79.4%,+76.6%,212413470,214852722,57,23,Jun 10-12
top gun: maverick,2022,normal weekend,118.39,121.67,-32.2%,-31.3%,118392908,121670438,60,22,Jun 3-5
top gun: maverick,2022,normal weekend,174.6,177.23,+144.1%,+134.2%,174602102,177229239,52,21,May 27-29
top gun: maverick,2022,Memorial Day wknd,220.04,223.36,-,-,220038783,223364859,47,21,May 27-30
doctor strange in the multiverse of madness,2022,normal weekend,71.52,75.67,-19.7%,-17.5%,71518782,75672719,54,20,May 20-22
doctor strange in the multiverse of madness,2022,normal weekend,89.05,91.76,-59.6%,-58.7%,89049541,91763058,49,19,May 13-15
doctor strange in the multiverse of madness,2022,normal weekend,220.28,222.33,+252.4%,+232.3%,220282059,222333899,45,18,May 6-8
the bad guys,2022,normal weekend,62.51,66.9,-30.7%,-28.4%,62512297,66904036,50,17,Apr 29-May 1
the bad guys,2022,normal weekend,90.22,93.5,-14.8%,-12.8%,90218714,93502811,45,16,Apr 22-24
fantastic beasts: the secrets of dumbledore,2022,normal weekend,105.9,107.17,-9.6%,-9.7%,105898267,107168534,40,15,Apr 15-17
fantastic beasts: the secrets of dumbledore,2022,Easter wknd,118.29,119.5,-,-,118286160,119498996,28,15,Apr 15-18
sonic the hedgehog 2,2022,normal weekend,117.18,118.7,+46%,+43%,117176203,118700008,50,14,Apr 8-10
morbius,2022,normal weekend,80.24,83.01,+2.2%,+1.2%,80235023,83007169,52,13,Apr 1-3
the lost city,2022,normal weekend,78.48,82.04,-2%,-1.7%,78479529,82040448,60,12,Mar 25-27
the batman,2022,normal weekend,80.06,83.46,-19.4%,-18.1%,80060996,83455041,58,11,Mar 18-20
the batman,2022,normal weekend,99.32,101.94,-39.2%,-38.6%,99316599,101939737,53,10,Mar 11-13
the batman,2022,normal weekend,163.41,166.07,+197.1%,+172.7%,163405808,166066890,55,9,Mar 4-6
uncharted,2022,normal weekend,55.01,60.91,-39%,-35.6%,55006939,60906460,54,8,Feb 25-27
uncharted,2022,Presidents' Day wknd,106.17,111.46,-,-,106169516,111455709,51,7,Feb 18-21
uncharted,2022,normal weekend,90.16,94.58,+79%,+75.7%,90159064,94583877,52,7,Feb 18-20
death on the nile,2022,normal weekend,50.37,53.84,-9.8%,-9.9%,50371632,53837195,52,6,Feb 11-13
jackass forever,2022,normal weekend,55.86,59.78,+81.4%,+70.5%,55860817,59779023,52,5,Feb 4-6
spider-man: no way home,2022,normal weekend,30.79,35.05,-27%,-24%,30794469,35052113,48,4,Jan 28-30
spider-man: no way home,2022,normal weekend,42.16,46.12,-38.3%,-35.5%,42161017,46118823,45,3,Jan 21-23
scream,2022,normal weekend,68.34,71.53,+13.3%,+13.9%,68339319,71534496,41,2,Jan 14-16
scream,2022,MLK wknd,81.22,85.07,-,-,81219405,85074757,37,2,Jan 14-17
spider-man: no way home,2022,normal weekend,60.32,62.8,-37%,-36.5%,60318053,62796729,35,1,Jan 7-9
wonka,2023,New Year's long wknd,129.14,145.15,-,-,129143595,145153773,53,52,"Dec 29-Jan 1, 2024"
wonka,2023,normal weekend,100.48,112.88,+17%,+19.5%,100476963,112880386,55,52,Dec 29-31
aquaman and the lost kingdom,2023,Christmas long wknd,136.91,157.51,-,-,136914224,157512234,47,51,Dec 22-25
aquaman and the lost kingdom,2023,normal weekend,85.85,94.44,+24.4%,+24.4%,85845470,94437645,55,51,Dec 22-24
wonka,2023,normal weekend,69.0,75.93,+16.3%,+7.8%,68999014,75934187,58,50,Dec 15-17
the boy and the heron,2023,normal weekend,59.35,70.43,-31.5%,-27.5%,59345395,70426430,61,49,Dec 8-10
renaissance: a film by beyoncé,2023,Post-Thanksgiving,86.67,97.13,-20.7%,-16.3%,86665445,97128796,54,48,Dec 1-3
the hunger games: the ballad of songbirds & snakes,2023,Thanksgiving 3-Day,109.29,115.99,-1.4%,+0.4%,109288380,115988162,55,47,Nov 24-26
the hunger games: the ballad of songbirds & snakes,2023,Thanksgiving 4-Day,130.73,138.58,-,-,130732631,138577426,39,47,Nov 23-26
the hunger games: the ballad of songbirds & snakes,2023,Thanksgiving 5-Day,163.91,173.23,-,-,163905713,173232838,43,47,Nov 22-26
the hunger games: the ballad of songbirds & snakes,2023,normal weekend,110.85,115.5,+36.2%,+32%,110852405,115500888,56,46,Nov 17-19
the marvels,2023,normal weekend,81.36,87.49,+44.9%,+38.6%,81360032,87494031,65,45,Nov 10-12
five nights at freddy's,2023,normal weekend,56.14,63.15,-54.2%,-50%,56142348,63146478,62,44,Nov 3-5
five nights at freddy's,2023,normal weekend,122.53,126.27,+52.8%,+50%,122529750,126269880,66,43,Oct 27-29
taylor swift: the eras tour,2023,normal weekend,80.21,84.17,-37.6%,-36.7%,80214659,84171424,71,42,Oct 20-22
taylor swift: the eras tour,2023,normal weekend,128.51,132.93,+94.8%,+82.1%,128506479,132931334,62,41,Oct 13-15
the exorcist: believer,2023,Indig. Peoples' Day wknd,74.78,82.6,-,-,74776095,82603687,49,40,Oct 6-9
the exorcist: believer,2023,normal weekend,65.97,72.98,-15.3%,-14.8%,65970473,72982298,67,40,Oct 6-8
paw patrol: the mighty movie,2023,normal weekend,77.88,85.66,+83.9%,+64.3%,77879020,85664472,67,39,Sep 29-Oct 1
the nun ii,2023,normal weekend,42.35,52.15,-24.4%,-17%,42349485,52149390,71,38,Sep 22-24
the nun ii,2023,normal weekend,56.04,62.8,-31.4%,-28.9%,56042286,62797562,62,37,Sep 15-17
the nun ii,2023,normal weekend,81.69,88.38,+3.1%,-1%,81688220,88384497,62,36,Sep 8-10
the equalizer 3,2023,normal weekend,79.24,89.23,+1.6%,-1.9%,79244392,89234435,63,35,Sep 1-3
the equalizer 3,2023,Labor Day wknd,101.37,115.07,-,-,101367979,115071858,61,35,Sep 1-4
gran turismo,2023,normal weekend,78.02,90.93,-15%,-6.6%,78022576,90934182,71,34,Aug 25-27
blue beetle,2023,normal weekend,91.83,97.39,-15.4%,-13%,91834103,97390629,62,33,Aug 18-20
barbie,2023,normal weekend,108.49,111.92,-37.2%,-36.7%,108489585,111923170,60,32,Aug 11-13
barbie,2023,normal weekend,172.77,176.73,-17.6%,-17.3%,172767141,176729294,57,31,Aug 4-6
barbie,2023,normal weekend,209.75,213.64,-31.9%,-31.3%,209751460,213643074,54,30,Jul 28-30
barbie,2023,normal weekend,307.81,310.95,+129.4%,+121.4%,307805201,310952297,54,29,Jul 21-23
mission: impossible - dead reckoning part one,2023,normal weekend,134.21,140.48,+10.9%,+7.8%,134207030,140477074,55,28,Jul 14-16
insidious: the red door,2023,normal weekend,121.03,130.32,-0.9%,+1.6%,121030650,130319426,56,27,Jul 7-9
indiana jones and the dial of destiny,2023,July 4th long wknd,184.96,196.33,-,-,184963868,196326530,30,26,Jun 30-Jul 4
indiana jones and the dial of destiny,2023,normal weekend,122.14,128.26,+15.2%,+17.6%,122142874,128263958,48,26,Jun 30-Jul 2
spider-man: across the spider-verse,2023,normal weekend,106.02,109.11,-34.3%,-33.4%,106020773,109106332,51,25,Jun 23-25
the flash,2023,normal weekend,161.3,163.79,-1.4%,-0.9%,161297087,163789499,52,24,Jun 16-18
transformers: rise of the beasts,2023,normal weekend,163.53,165.34,-19.6%,-19.4%,163527157,165338293,56,23,Jun 9-11
spider-man: across the spider-verse,2023,normal weekend,203.34,205.18,+26.4%,+25.8%,203338486,205180410,55,22,Jun 2-4
the little mermaid,2023,Memorial Day wknd,200.81,203.75,-,-,200810396,203750914,61,21,May 26-29
the little mermaid,2023,normal weekend,160.81,163.14,+35.4%,+34%,160808155,163143062,62,21,May 26-28
fast x,2023,normal weekend,118.74,121.76,+24.8%,+20.8%,118739905,121759667,58,20,May 19-21
guardians of the galaxy vol. 3,2023,normal weekend,95.15,100.81,-39%,-37%,95148648,100807312,58,19,May 12-14
guardians of the galaxy vol. 3,2023,normal weekend,156.02,159.91,+76.1%,+59.6%,156015546,159907355,53,18,May 5-7
the super mario bros. movie,2023,normal weekend,88.59,100.2,-25.3%,-19.8%,88589524,100199383,69,17,Apr 28-30
the super mario bros. movie,2023,normal weekend,118.53,124.94,-16.9%,-15.8%,118529087,124940195,65,16,Apr 21-23
the super mario bros. movie,2023,normal weekend,142.63,148.46,-28.9%,-27.5%,142633921,148456364,72,15,Apr 14-16
the super mario bros. movie,2023,Easter wknd,227.01,231.92,-,-,227011315,231916311,39,14,Apr 7-10
the super mario bros. movie,2023,normal weekend,200.57,204.79,+118.5%,+109.2%,200569722,204788826,70,14,Apr 7-9
dungeons & dragons: honor among thieves,2023,normal weekend,91.81,97.91,-18.2%,-16%,91814122,97914730,67,13,Mar 31-Apr 2
john wick: chapter 4,2023,normal weekend,112.19,116.62,+28.8%,+26.5%,112191657,116624505,67,12,Mar 24-26
shazam! fury of the gods,2023,normal weekend,87.09,92.18,-23.2%,-21.9%,87087315,92184348,64,11,Mar 17-19
scream vi,2023,normal weekend,113.37,118.09,+0.8%,+0.4%,113369708,118089113,70,10,Mar 10-12
creed iii,2023,normal weekend,112.47,117.6,+27%,+24.8%,112469994,117601639,78,9,Mar 3-5
ant-man and the wasp: quantumania,2023,normal weekend,88.59,94.25,-36.1%,-35%,88586462,94245237,70,8,Feb 24-26
ant-man and the wasp: quantumania,2023,Presidents' Day wknd,159.95,166.97,-,-,159948829,166970765,57,7,Feb 17-20
ant-man and the wasp: quantumania,2023,normal weekend,138.73,145.02,+190.1%,+175.5%,138728599,145015407,57,7,Feb 17-19
magic mike's last dance,2023,normal weekend,47.81,52.63,-33.8%,-35.3%,47814469,52628126,61,6,Feb 10-12
knock at the cabin,2023,normal weekend,72.17,81.33,+15.9%,+12.3%,72172820,81333946,60,5,Feb 3-5
avatar: the way of water,2023,normal weekend,62.26,72.46,-12%,-2.4%,62261869,72456636,63,4,Jan 27-29
avatar: the way of water,2023,normal weekend,70.77,74.2,-28.4%,-28%,70766896,74204241,56,3,Jan 20-22
avatar: the way of water,2023,normal weekend,98.9,103.02,-5.1%,-3%,98902358,103015764,48,2,Jan 13-15
avatar: the way of water,2023,MLK wknd,119.96,124.78,-,-,119958973,124779112,43,2,Jan 13-16
avatar: the way of water,2023,normal weekend,104.27,106.25,+2.1%,+2.9%,104267030,106246109,44,1,Jan 6-8
